S2 Count,Start_Time(in sec),End_Time(in sec),Image_Dump_Time(in msec),Jitter(in sec)
137,1722092770204.071533,1722092770215.270264,11.198759,15.650034
138,1722092771204.076904,1722092771215.266357,11.189461,-0.005484
139,1722092772204.064697,1722092772215.255127,11.190414,0.012398
140,1722092773204.060059,1722092773215.248779,11.188745,0.004530
141,1722092774204.078613,1722092774215.293701,11.214972,-0.018597
142,1722092775220.987061,1722092775249.889648,28.902531,-16.908407
143,1722092776204.094238,1722092776215.276855,11.182785,16.892910
144,1722092777204.065918,1722092777215.260986,11.194944,0.028133
145,1722092778204.058350,1722092778215.289551,11.231184,0.007629
146,1722092779204.074951,1722092779215.290039,11.215210,-0.016451
147,1722092780204.084473,1722092780217.282715,13.198376,-0.009537
148,1722092781224.661865,1722092781250.400391,25.738478,-20.577431
149,1722092782204.079834,1722092782215.266846,11.187077,20.581961
150,1722092783204.053711,1722092783215.253662,11.199951,0.026226
151,1722092784204.052979,1722092784215.249268,11.196375,0.000715
152,1722092785204.072754,1722092785215.294678,11.221886,-0.019789
153,1722092786204.088623,1722092786215.285156,11.196375,-0.015974
154,1722092787220.848633,1722092787250.623535,29.774904,-16.759872
155,1722092788204.078125,1722092788215.304443,11.226177,16.770363
156,1722092789204.060059,1722092789215.267822,11.207819,0.018120
157,1722092790204.073975,1722092790215.321289,11.247396,-0.013828
158,1722092791204.100586,1722092791215.324463,11.223793,-0.026703
159,1722092792204.061035,1722092792215.458496,11.397362,0.039577
160,1722092793224.651123,1722092793253.713379,29.062271,-20.590067
161,1722092794204.087158,1722092794215.322998,11.235714,20.563841
162,1722092795204.093750,1722092795215.982422,11.888742,-0.006437
163,1722092796204.081299,1722092796215.252197,11.170864,0.012398
164,1722092797204.082764,1722092797215.292480,11.209726,-0.001431
165,1722092798204.085693,1722092798215.289551,11.204004,-0.002861
166,1722092799220.788818,1722092799249.618164,28.829336,-16.703129
167,1722092800204.073730,1722092800215.258789,11.185169,16.715050
168,1722092801204.069336,1722092801215.285156,11.215687,0.004292
169,1722092802204.088379,1722092802215.286133,11.197567,-0.019073
170,1722092803204.083252,1722092803215.272705,11.189461,0.005245
171,1722092804204.082275,1722092804218.312744,14.230490,0.000954
172,1722092805224.626709,1722092805258.231689,33.604860,-20.544529
173,1722092806204.044434,1722092806215.272461,11.228085,20.582438
174,1722092807204.094482,1722092807215.311523,11.217117,-0.050068
175,1722092808204.073730,1722092808215.280518,11.206865,0.020742
176,1722092809204.086426,1722092809215.286621,11.200190,-0.012875
177,1722092810204.075684,1722092810215.259033,11.183500,0.010967
178,1722092811224.702393,1722092811250.485107,25.782824,-20.626783
179,1722092812204.051270,1722092812215.276123,11.224985,20.651102
180,1722092813204.187500,1722092813215.412598,11.225224,-0.136137
