S1 Count,Start_Time(in sec),End_Time(in sec),Image_Capture_Time(in msec),Jitter(in msec)
135,1722092768193.791748,1722092768203.954346,10.162830,0.008583
136,1722092769193.908691,1722092769219.568359,25.659561,-0.117064
137,1722092770193.788330,1722092770203.954102,10.165691,0.120401
138,1722092771193.801758,1722092771203.968018,10.166407,-0.013351
139,1722092772193.790039,1722092772203.952637,10.162592,0.011683
140,1722092773193.786133,1722092773203.944092,10.158062,0.003815
141,1722092774193.797607,1722092774203.958984,10.161400,-0.011444
142,1722092775193.934082,1722092775220.804932,26.870966,-0.136375
143,1722092776193.794678,1722092776203.968262,10.173559,0.139236
144,1722092777193.786865,1722092777203.959229,10.172367,0.007868
145,1722092778193.785889,1722092778203.942627,10.156631,0.000954
146,1722092779193.794189,1722092779203.958252,10.164022,-0.008345
147,1722092780193.800293,1722092780203.968750,10.168552,-0.005960
148,1722092781193.918701,1722092781224.379395,30.460596,-0.118494
149,1722092782193.820801,1722092782203.972168,10.151386,0.097990
150,1722092783193.796875,1722092783203.951904,10.154963,0.023842
151,1722092784193.790771,1722092784203.946289,10.155678,0.006199
152,1722092785193.787109,1722092785203.947510,10.160446,0.003576
153,1722092786193.807129,1722092786203.969727,10.162592,-0.020027
154,1722092787193.965088,1722092787220.667969,26.702881,-0.158072
155,1722092788193.784912,1722092788203.954102,10.169029,0.180244
156,1722092789193.793213,1722092789203.946533,10.153294,-0.008345
157,1722092790193.792969,1722092790203.955811,10.162830,0.000238
158,1722092791193.813477,1722092791203.980713,10.167122,-0.020504
159,1722092792193.785156,1722092792203.943848,10.158777,0.028372
160,1722092793193.924561,1722092793224.393066,30.468464,-0.139475
161,1722092794193.794922,1722092794203.961426,10.166407,0.129700
162,1722092795193.799316,1722092795203.970703,10.171413,-0.004292
163,1722092796193.785400,1722092796203.956787,10.171413,0.013828
164,1722092797193.786133,1722092797203.955811,10.169744,-0.000715
165,1722092798193.792236,1722092798203.964355,10.171890,-0.006199
166,1722092799193.940430,1722092799220.605713,26.665211,-0.148058
167,1722092800193.784180,1722092800203.950684,10.166407,0.156164
168,1722092801193.787354,1722092801203.948486,10.161161,-0.003099
169,1722092802193.806396,1722092802203.980225,10.173798,-0.019073
170,1722092803193.798828,1722092803203.961670,10.162830,0.007629
171,1722092804193.797607,1722092804203.965088,10.167599,0.001192
172,1722092805193.929199,1722092805224.363770,30.434608,-0.131607
173,1722092806193.789062,1722092806203.936768,10.147810,0.140190
174,1722092807193.810303,1722092807203.975830,10.165691,-0.021219
175,1722092808193.794678,1722092808203.949463,10.154724,0.015497
176,1722092809193.799561,1722092809203.963379,10.163784,-0.004768
177,1722092810193.804199,1722092810203.964111,10.159731,-0.004768
178,1722092811193.958984,1722092811224.425537,30.466557,-0.154734
179,1722092812193.786377,1722092812203.942871,10.156393,0.172615
180,1722092813193.791992,1722092813203.965088,10.173082,-0.005722
